symbol,name,exchange,mic_code,sector,industry,employees,website,description,stock_price,revenue,sustainability_goals,esg_score,esg_rating
AAPL,Apple Inc,NASDAQ,XNGS,Technology,Consumer Electronics,164000,https://www.apple.com,"Apple Inc. is a multinational technology company that designs, develops, and sells consumer electronics, computer software, and online services.",2804.88,181700000000,Achieve carbon neutrality by 2022 and use 100% renewable energy by 2030.,85,AA
DIS,The Walt Disney Company,NYSE,XNYS,Communication Services,Entertainment,223000,https://www.thewaltdisneycompany.com,"The Walt Disney Company is a multinational entertainment conglomerate that operates a diverse range of media networks, studios, and theme parks.",174.97,65400000000,Reduce net greenhouse gas emissions by 50% by 2025 and achieve net-zero emissions by 2040.,70,A
PG,Procter & Gamble Co.,NYSE,XNYS,Consumer Staples,Household and Personal Products,100000,https://us.pg.com,Procter & Gamble Co. is a multinational consumer goods corporation that specializes in personal care and household products.,138.71,76100000000,Reduce greenhouse gas emissions by 50% by 2030 and achieve net-zero emissions by 2040.,80,AA
JNJ,Johnson & Johnson,NYSE,XNYS,Healthcare,Pharmaceuticals,135100,https://www.jnj.com,"Johnson & Johnson is a multinational healthcare conglomerate that specializes in pharmaceuticals, medical devices, and consumer health products.",164.21,109300000000,Reduce carbon footprint by 20% by 2025 and achieve carbon neutrality in its operations by 2030.,83,AA
MSFT,Microsoft Corporation,NASDAQ,XNGS,Technology,Software,181000,https://www.microsoft.com,"Microsoft Corporation is a technology company that develops, licenses, and sells computer software, consumer electronics, and personal computers and services.",2804.88,181700000000,Achieve carbon neutrality by 2022 and use 100% renewable energy by 2030.,89,A
AMZN,"Amazon.com, Inc.",NASDAQ,XNGS,Consumer Discretionary,Internet Retail,1271000,https://www.amazon.com,"Amazon.com, Inc. is an American multinational technology company that focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence.",58.81,128300000000,Achieve carbon neutrality in its operations by 2035 and source 50% of electricity from renewable energy by 2025.,75,A
JPM,JPMorgan Chase & Co.,NYSE,XNYS,Financials,Diversified Banks,256710,https://www.jpmorganchase.com,"JPMorgan Chase & Co. is a multinational investment bank and financial services holding company that provides a range of financial services, including investment banking, asset management, and consumer banking.",729.29,20600000000,Reduce carbon emissions by 30% by 2025 and achieve net-zero carbon emissions by 2040.,80,AA
CVS,CVS Health Corporation,NYSE,XNYS,Health Care,Health Care Providers,300000,https://www.cvshealth.com,"CVS Health Corporation is an American healthcare company that provides pharmacy services, retail pharmacy, and healthcare benefits management services.",2804.88,181700000000,Achieve carbon neutrality by 2022 and use 100% renewable energy by 2030.,85,AA
GOOGL,Alphabet Inc.,NASDAQ,XNGS,Technology,Internet Services,144056,https://www.abc.xyz,Alphabet Inc. is a multinational technology conglomerate that specializes in internet-related services and products.,2804.88,181700000000,Achieve carbon neutrality by 2022 and use 100% renewable energy by 2030.,85,AA
WMT,Walmart Inc.,NYSE,XNYS,Consumer Staples,Hypermarkets and Super Centers,2200000,https://www.walmart.com,"Walmart Inc. is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores.",139.18,559200000000,Achieve zero waste in key markets by 2025 and source 100% of energy from renewable sources by 2035.,70,A
NVDA,NVIDIA Corporation,NASDAQ,XNGS,Technology,Semiconductors,18975,https://www.nvidia.com,NVIDIA Corporation is a multinational technology company that specializes in designing graphics processing units (GPUs) for gaming and professional markets.,729.29,20600000000,Reduce carbon emissions by 30% by 2025 and achieve net-zero carbon emissions by 2040.,80,AA
VZ,Verizon Communications Inc.,NYSE,XNYS,Communication Services,Telecommunication Services,135000,https://www.verizon.com,"Verizon Communications Inc. is a multinational telecommunications conglomerate that provides wireless communications, internet, and TV services.",58.81,128300000000,Achieve carbon neutrality in its operations by 2035 and source 50% of electricity from renewable energy by 2025.,75,A
PG,Procter & Gamble Co.,NYSE,XNYS,Communication Services,Telecommunication Services,135000,https://www.verizon.com,"Verizon Communications Inc. is a multinational telecommunications conglomerate that provides wireless communications, internet, and TV services.",58.81,128300000000,Achieve carbon neutrality in its operations by 2035 and source 50% of electricity from renewable energy by 2025.,75,A
